Date,Part Number,serialNumber,typeName,stationNumber,stationDescription,Faulire Code,Failure Description,Defect,failureDetails,Action Code,Material Code,Material Desc,partClass
9/1/2022 0:00,10003939,1679623,Test,1-ET,Flex Test Bench,R+JX,R+JX,60Mhz Real,Match failed impedance with Real value measured below SPEC 1.47ohm. It should be R=1.52 ohm.  Suggest replacing 60MHz variable cap SN1633425, Replace Component/NCR,,,Capacitor
9/1/2022 0:00,10009897,2222789,Calibration,PMD Station,PMD Station,Phase Mag Tests,,C3,C7 could not adjust to meet specs, Replace Component/NCR,10009900,ASSY PMD 13.56MHZ GND-REF NON-CAL,Phase Mag
9/1/2022 0:00,10009897,2222843,Calibration,PMD Station,PMD Station,Phase Mag Tests,,C3,C7 could not adjust to meet specs, Replace Component/NCR,10009900,ASSY PMD 13.56MHZ GND-REF NON-CAL,Phase Mag
9/1/2022 0:00,10009897,2222904,Calibration,PMD Station,PMD Station,Phase Mag Tests,,C3,C7 could not adjust to meet specs, Replace Component/NCR,10009900,ASSY PMD 13.56MHZ GND-REF NON-CAL,Phase Mag
9/1/2022 0:00,20070547,1372034,Test,2- CT,Test Bench,Components,Component Failures,Fan/Motors/Cables,Replace motor on C19., Replace Component/NCR,10001179,MOTOR STEPPER PK244PA INCL COUPLER,Others
9/1/2022 0:00,20081539,1676791,Test,2-BT,Test Bench,Components,Component Failures,Fan/Motors/Cables,"C1 need to realign coupler. C2 coupler pop off, need to reattach and realign",Open Match to Investigate,,,Others
9/1/2022 0:00,20083163,1676762,Test,2-BT,Test Bench,RF Failure,RF Failure,RF Arched,Vpp failed at 1000W could not adjust to 6.00V, Replace Component/NCR,10008759,PCB ASSY VOLTAGE PROBE,V/I Probe
9/1/2022 0:00,20091588,1676789,Test,2-AT,RF Test Bench,Components,Component Failures,Damaged Parts,Replace Vpp Probe way out of spec., Replace Component/NCR,20049816,"PCBA,VPP,LF",Others
9/1/2022 0:00,20108675,2002103,Calibration,VI-TFX-2,VI TFX 2_SN 599227,Other,Codes to be Added,Other,Failed on match level, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/1/2022 0:00,20108676,2229949,Calibration,VI-TFX-2,VI TFX 2_SN 599227,Current Test,I-Side Test,Operator '!',Operator '!'-I, Replace Component/NCR,20101359,"ASSY, VI PROBE, KIYO-G, NON-CAL",V/I Probe
9/1/2022 0:00,853-040482-682,1677494,OQA Inspection,2-Jan,Quality Outgoing Inspection,QC Failure,Hardware Failure,"Document (labels, TP )",TP not update.,Fix Discrepancy,,,Match
9/1/2022 0:00,853-043759-223,1682799,Assembly,1-J,Kiyo Assembly bench,Defects,Cosmetic/Damaged/Others,Cosmetic defects,"Strap kit 20079142, missing 1 pc trap P/N 20078857", Replace Component/NCR,20079142,"KIT, SILVER STRAPS, KIYO-111",Sheet Metal
9/2/2022 0:00,10003939,1679626,Test,1-ET,Flex Test Bench,Homing,Failure,Replace Board,PCB Homing does not move the value, Replace Component/NCR,,,Controller PCBA
